Date,Closing,Volume,Opening,Highest,Lowest,Symbol,Close,Open,High,Low
08-07-2020,$111.1125,198045600,$113.205,$113.675,$110.2925,AAPL,111.1125,113.205,113.675,110.2925
08-10-2020,$112.7275,212403440,$112.60,$113.775,$110.00,AAPL,112.7275,112.6,113.775,110
08-11-2020,$109.375,187902360,$111.9688,$112.4825,$109.1067,AAPL,109.375,111.9688,112.4825,109.1067
08-12-2020,$113.01,165944840,$110.4975,$113.275,$110.2975,AAPL,113.01,110.4975,113.275,110.2975
08/13/2020,$115.01,210082080,$114.43,$116.0425,$113.9275,AAPL,115.01,114.43,116.0425,113.9275
08/14/2020,$114.9075,165565200,$114.8288,$115.00,$113.045,AAPL,114.9075,114.8288,115,113.045
08/17/2020,$114.6075,119561440,$116.0625,$116.0875,$113.9625,AAPL,114.6075,116.0625,116.0875,113.9625
08/18/2020,$115.5625,105633560,$114.3525,$116.00,$114.0075,AAPL,115.5625,114.3525,116,114.0075
08/19/2020,$115.7075,145538000,$115.9833,$117.1625,$115.61,AAPL,115.7075,115.9833,117.1625,115.61
08/20/2020,$118.275,126907200,$115.75,$118.392,$115.7334,AAPL,118.275,115.75,118.392,115.7334
08/21/2020,$124.37,338054640,$119.2625,$124.868,$119.25,AAPL,124.37,119.2625,124.868,119.25
08/24/2020,$125.8575,345937760,$128.6975,$128.785,$123.9363,AAPL,125.8575,128.6975,128.785,123.9363
08/25/2020,$124.825,211495800,$124.6975,$125.1793,$123.0525,AAPL,124.825,124.6975,125.1793,123.0525
08/26/2020,$126.5225,163022280,$126.1793,$126.9925,$125.0825,AAPL,126.5225,126.1793,126.9925,125.0825
08/27/2020,$125.01,155552400,$127.1425,$127.485,$123.8325,AAPL,125.01,127.1425,127.485,123.8325
08/28/2020,$124.8075,187629920,$126.0125,$126.4425,$124.5775,AAPL,124.8075,126.0125,126.4425,124.5775
08/31/2020,$129.04,225702700,$127.58,$131.00,$126.00,AAPL,129.04,127.58,131,126
09-01-2020,$134.18,152470100,$132.76,$134.80,$130.53,AAPL,134.18,132.76,134.8,130.53
09-02-2020,$131.40,200119000,$137.59,$137.98,$127.00,AAPL,131.4,137.59,137.98,127
09-03-2020,$120.88,257599600,$126.91,$128.84,$120.50,AAPL,120.88,126.91,128.84,120.5
09-04-2020,$120.96,332607200,$120.07,$123.70,$110.89,AAPL,120.96,120.07,123.7,110.89
09-08-2020,$112.82,231366600,$113.95,$118.99,$112.68,AAPL,112.82,113.95,118.99,112.68
09-09-2020,$117.32,176940500,$117.26,$119.14,$115.26,AAPL,117.32,117.26,119.14,115.26
09-10-2020,$113.49,182274400,$120.36,$120.50,$112.50,AAPL,113.49,120.36,120.5,112.5
09-11-2020,$112.00,180860300,$114.57,$115.23,$110.00,AAPL,112,114.57,115.23,110
09/14/2020,$115.355,140150100,$114.72,$115.93,$112.80,AAPL,115.355,114.72,115.93,112.8
09/15/2020,$115.54,184642000,$118.33,$118.829,$113.61,AAPL,115.54,118.33,118.829,113.61
09/16/2020,$112.13,155026700,$115.23,$116.00,$112.04,AAPL,112.13,115.23,116,112.04
09/17/2020,$110.34,178011000,$109.72,$112.20,$108.71,AAPL,110.34,109.72,112.2,108.71
09/18/2020,$106.84,287104900,$110.40,$110.88,$106.09,AAPL,106.84,110.4,110.88,106.09
09/21/2020,$110.08,195713800,$104.54,$110.19,$103.10,AAPL,110.08,104.54,110.19,103.1
09/22/2020,$111.81,183055400,$112.68,$112.86,$109.16,AAPL,111.81,112.68,112.86,109.16
09/23/2020,$107.12,150718700,$111.62,$112.11,$106.77,AAPL,107.12,111.62,112.11,106.77
09/24/2020,$108.22,167743300,$105.17,$110.25,$105.00,AAPL,108.22,105.17,110.25,105
09/25/2020,$112.28,149981400,$108.43,$112.44,$107.67,AAPL,112.28,108.43,112.44,107.67
09/28/2020,$114.96,137672400,$115.01,$115.32,$112.78,AAPL,114.96,115.01,115.32,112.78
09/29/2020,$114.09,100060500,$114.55,$115.31,$113.57,AAPL,114.09,114.55,115.31,113.57
09/30/2020,$115.81,142675200,$113.79,$117.26,$113.62,AAPL,115.81,113.79,117.26,113.62
10-01-2020,$116.79,116120400,$117.64,$117.72,$115.83,AAPL,116.79,117.64,117.72,115.83
10-02-2020,$113.02,144712000,$112.89,$115.37,$112.22,AAPL,113.02,112.89,115.37,112.22
10-05-2020,$116.50,106243800,$113.91,$116.65,$113.55,AAPL,116.5,113.91,116.65,113.55
10-06-2020,$113.16,161498200,$115.70,$116.12,$112.25,AAPL,113.16,115.7,116.12,112.25
10-07-2020,$115.08,96848990,$114.62,$115.55,$114.13,AAPL,115.08,114.62,115.55,114.13
10-08-2020,$114.97,83477150,$116.25,$116.40,$114.5901,AAPL,114.97,116.25,116.4,114.5901
10-09-2020,$116.97,100506900,$115.28,$117.00,$114.92,AAPL,116.97,115.28,117,114.92
10-12-2020,$124.40,240226800,$120.06,$125.18,$119.2845,AAPL,124.4,120.06,125.18,119.2845
10/13/2020,$121.10,262330500,$125.27,$125.39,$119.65,AAPL,121.1,125.27,125.39,119.65
10/14/2020,$121.19,151062300,$121.00,$123.03,$119.62,AAPL,121.19,121,123.03,119.62
10/15/2020,$120.71,112559200,$118.72,$121.20,$118.15,AAPL,120.71,118.72,121.2,118.15
10/16/2020,$119.02,115393800,$121.28,$121.548,$118.81,AAPL,119.02,121.28,121.548,118.81
10/19/2020,$115.98,120639300,$119.96,$120.419,$115.66,AAPL,115.98,119.96,120.419,115.66
10/20/2020,$117.51,124423700,$116.20,$118.98,$115.63,AAPL,117.51,116.2,118.98,115.63
10/21/2020,$116.87,89945980,$116.67,$118.705,$116.45,AAPL,116.87,116.67,118.705,116.45
10/22/2020,$115.75,101988000,$117.45,$118.04,$114.59,AAPL,115.75,117.45,118.04,114.59
10/23/2020,$115.04,82572650,$116.39,$116.55,$114.28,AAPL,115.04,116.39,116.55,114.28
10/26/2020,$115.05,111850700,$114.01,$116.55,$112.88,AAPL,115.05,114.01,116.55,112.88
10/27/2020,$116.60,92276770,$115.49,$117.28,$114.5399,AAPL,116.6,115.49,117.28,114.5399
10/28/2020,$111.20,143937800,$115.05,$115.43,$111.10,AAPL,111.2,115.05,115.43,111.1
10/29/2020,$115.32,146129200,$112.37,$116.93,$112.20,AAPL,115.32,112.37,116.93,112.2
10/30/2020,$108.86,190573500,$111.06,$111.99,$107.72,AAPL,108.86,111.06,111.99,107.72
11-02-2020,$108.77,122866900,$109.11,$110.68,$107.32,AAPL,108.77,109.11,110.68,107.32
11-03-2020,$110.44,107624400,$109.66,$111.49,$108.73,AAPL,110.44,109.66,111.49,108.73
11-04-2020,$114.95,138235500,$114.14,$115.59,$112.35,AAPL,114.95,114.14,115.59,112.35
11-05-2020,$119.03,126387100,$117.95,$119.62,$116.8686,AAPL,119.03,117.95,119.62,116.8686
11-06-2020,$118.69,114457900,$118.32,$119.20,$116.13,AAPL,118.69,118.32,119.2,116.13
11-09-2020,$116.32,154515300,$120.50,$121.99,$116.05,AAPL,116.32,120.5,121.99,116.05
11-10-2020,$115.97,138023400,$115.55,$117.59,$114.13,AAPL,115.97,115.55,117.59,114.13
11-11-2020,$119.49,112295000,$117.19,$119.63,$116.44,AAPL,119.49,117.19,119.63,116.44
11-12-2020,$119.21,103350700,$119.62,$120.53,$118.57,AAPL,119.21,119.62,120.53,118.57
11/13/2020,$119.26,81688590,$119.44,$119.6717,$117.87,AAPL,119.26,119.44,119.6717,117.87
11/16/2020,$120.30,91183020,$118.92,$120.99,$118.146,AAPL,120.3,118.92,120.99,118.146
11/17/2020,$119.39,74270970,$119.55,$120.6741,$118.96,AAPL,119.39,119.55,120.6741,118.96
11/18/2020,$118.03,76322110,$118.61,$119.82,$118.00,AAPL,118.03,118.61,119.82,118
11/19/2020,$118.64,74112970,$117.59,$119.06,$116.81,AAPL,118.64,117.59,119.06,116.81
11/20/2020,$117.34,73604290,$118.64,$118.77,$117.29,AAPL,117.34,118.64,118.77,117.29
